Chromosome/scaffold name	Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)
X	ENSG00000094631	ENSG00000094631.21	48801377	48824982
8	ENSG00000179388	ENSG00000179388.9	22687659	22693480
22	ENSG00000239989	ENSG00000239989.1	18794414	18794804
22	ENSG00000234764	ENSG00000234764.2	18833694	18834438
22	ENSG00000161103	ENSG00000161103.11	18846811	18861049
16	ENSG00000103199	ENSG00000103199.14	4748239	4767624
14	ENSG00000258613	ENSG00000258613.1	65266638	65267690
14	ENSG00000270610	ENSG00000270610.1	70234495	70235095
14	ENSG00000258813	ENSG00000258813.2	73057925	73059415
22	ENSG00000215544	ENSG00000215544.6	18855621	18858640
14	ENSG00000259093	ENSG00000259093.2	63122888	63178190
14	ENSG00000280073	ENSG00000280073.1	69357010	69359308
22	ENSG00000276095	ENSG00000276095.2	18873543	18894407
14	ENSG00000165555	ENSG00000165555.9	77394021	77423517
8	ENSG00000221818	ENSG00000221818.9	25841725	26045413
22	ENSG00000279987	ENSG00000279987.1	18883502	18884682
22	ENSG00000183628	ENSG00000183628.14	18906028	18914238
20	ENSG00000130700	ENSG00000130700.7	62463497	62475995
19	ENSG00000133243	ENSG00000133243.10	1985438	2034881
14	ENSG00000258301	ENSG00000258301.3	76781733	76786724
16	ENSG00000260702	ENSG00000260702.3	1101260	1105461
14	ENSG00000259033	ENSG00000259033.2	70255629	70343388
14	ENSG00000276116	ENSG00000276116.2	65411170	65412690
14	ENSG00000237450	ENSG00000237450.5	34485979	34486447
14	ENSG00000244237	ENSG00000244237.1	69561019	69561470
14	ENSG00000258743	ENSG00000258743.6	82642605	82746664
16	ENSG00000171490	ENSG00000171490.13	11833850	11851580
20	ENSG00000203971	ENSG00000203971.2	57957126	57960176
20	ENSG00000196700	ENSG00000196700.9	63956704	63969930
14	ENSG00000259055	ENSG00000259055.1	51088957	51091288
1	ENSG00000225630	ENSG00000225630.1	629640	630683
14	ENSG00000258561	ENSG00000258561.2	66212810	66509394
3	ENSG00000188846	ENSG00000188846.14	40457292	40468587
20	ENSG00000129988	ENSG00000129988.6	38346482	38377013
14	ENSG00000259109	ENSG00000259109.1	73189763	73190004
14	ENSG00000259907	ENSG00000259907.1	71181456	71182106
14	ENSG00000129521	ENSG00000129521.15	33924227	34462774
22	ENSG00000283809	ENSG00000283809.1	18906238	18947732
22	ENSG00000284294	ENSG00000284294.1	18936411	18947741
1	ENSG00000067606	ENSG00000067606.17	2050411	2185395
22	ENSG00000280418	ENSG00000280418.1	18951934	18959512
22	ENSG00000273032	ENSG00000273032.3	18970439	19031242
21	ENSG00000142197	ENSG00000142197.12	36156782	36294274
22	ENSG00000283583	ENSG00000283583.1	18980695	18981325
22	ENSG00000237517	ENSG00000237517.10	18985836	18994501
19	ENSG00000105549	ENSG00000105549.11	361747	376026
22	ENSG00000271275	ENSG00000271275.1	18997138	18997595
22	ENSG00000283366	ENSG00000283366.2	19014353	19014506
22	ENSG00000270393	ENSG00000270393.1	19018043	19018916
22	ENSG00000286025	ENSG00000286025.1	19029524	19031242
22	ENSG00000241527	ENSG00000241527.1	19031564	19034564
8	ENSG00000285937	ENSG00000285937.1	7738387	7741396
13	ENSG00000139800	ENSG00000139800.8	99962964	99971909
20	ENSG00000235018	ENSG00000235018.1	62037429	62037956
22	ENSG00000206739	ENSG00000206739.1	19045256	19045367
22	ENSG00000273311	ENSG00000273311.1	19046162	19048375
20	ENSG00000196227	ENSG00000196227.11	59933764	59948680
22	ENSG00000237347	ENSG00000237347.2	19055801	19056512
8	ENSG00000171320	ENSG00000171320.15	27771949	27812640
22	ENSG00000281530	ENSG00000281530.1	19061041	19061843
22	ENSG00000184983	ENSG00000184983.11	42085526	42090884
13	ENSG00000180332	ENSG00000180332.7	45192853	45201045
13	ENSG00000165300	ENSG00000165300.8	87671371	87696272
18	ENSG00000154655	ENSG00000154655.16	5954706	6415237
22	ENSG00000270083	ENSG00000270083.1	42089630	42090028
13	ENSG00000068650	ENSG00000068650.19	112690038	112887168
22	ENSG00000237037	ENSG00000237037.9	42090931	42137742
17	ENSG00000261868	ENSG00000261868.1	4301372	4302698
17	ENSG00000266079	ENSG00000266079.5	19557211	19557911
17	ENSG00000266416	ENSG00000266416.1	27708111	27708138
17	ENSG00000265043	ENSG00000265043.1	21456513	21460215
17	ENSG00000264245	ENSG00000264245.1	21573770	21574073
20	ENSG00000080839	ENSG00000080839.12	36996349	37095997
17	ENSG00000177427	ENSG00000177427.13	18260597	18266552
19	ENSG00000267740	ENSG00000267740.5	5866171	5903787
22	ENSG00000213790	ENSG00000213790.2	42107765	42108953
22	ENSG00000227370	ENSG00000227370.1	42132543	42132998
22	ENSG00000232710	ENSG00000232710.1	42136433	42139927
14	ENSG00000269945	ENSG00000269945.1	71219100	71222724
10	ENSG00000148602	ENSG00000148602.6	84231520	84241546
22	ENSG00000281538	ENSG00000281538.1	42138060	42139726
14	ENSG00000205669	ENSG00000205669.4	73610945	73619888
3	ENSG00000283392	ENSG00000283392.1	14602035	14641443
22	ENSG00000205702	ENSG00000205702.11	42140203	42149455
19	ENSG00000267332	ENSG00000267332.1	9019344	9019984
3	ENSG00000196220	ENSG00000196220.16	8980591	9363053
10	ENSG00000285257	ENSG00000285257.1	87214136	87216173
14	ENSG00000203546	ENSG00000203546.7	31334312	31457441
10	ENSG00000122378	ENSG00000122378.14	80407829	80437115
19	ENSG00000007264	ENSG00000007264.15	3777970	3802129
14	ENSG00000258750	ENSG00000258750.2	48398310	48399375
14	ENSG00000258958	ENSG00000258958.1	87323753	87332390
14	ENSG00000269927	ENSG00000269927.1	71141125	71143253
14	ENSG00000270000	ENSG00000270000.1	74471930	74472360
14	ENSG00000273797	ENSG00000273797.1	69617122	69617648
14	ENSG00000258603	ENSG00000258603.4	73555115	73633941
14	ENSG00000258569	ENSG00000258569.1	76710658	76761388
14	ENSG00000258683	ENSG00000258683.1	82788478	82796221
14	ENSG00000257986	ENSG00000257986.3	25647304	26143305
14	ENSG00000165389	ENSG00000165389.7	34432788	34462240
21	ENSG00000155313	ENSG00000155313.16	15729982	15880064
14	ENSG00000259483	ENSG00000259483.1	56303490	56310761
14	ENSG00000258639	ENSG00000258639.1	48045481	48046216
14	ENSG00000259008	ENSG00000259008.1	57355446	57359410
8	ENSG00000156011	ENSG00000156011.17	18527303	19084730
14	ENSG00000258426	ENSG00000258426.1	83018201	83039602
14	ENSG00000258422	ENSG00000258422.5	70187123	70230187
7	ENSG00000229893	ENSG00000229893.2	27733064	27740395
7	ENSG00000286738	ENSG00000286738.1	45268681	45384802
14	ENSG00000029364	ENSG00000029364.12	69398015	69462390
7	ENSG00000279578	ENSG00000279578.1	48847766	48851625
7	ENSG00000211690	ENSG00000211690.1	38269491	38269540
16	ENSG00000158486	ENSG00000158486.13	20933111	21159441
7	ENSG00000287651	ENSG00000287651.1	35313838	35377071
7	ENSG00000228735	ENSG00000228735.1	54576052	54578794
7	ENSG00000233219	ENSG00000233219.1	33868501	33874231
7	ENSG00000223970	ENSG00000223970.1	53002420	53003429
7	ENSG00000230680	ENSG00000230680.2	46477822	46481578
17	ENSG00000124422	ENSG00000124422.12	20999596	21043760
7	ENSG00000187258	ENSG00000187258.14	34658218	34878332
18	ENSG00000141448	ENSG00000141448.11	22169589	22202528
10	ENSG00000204033	ENSG00000204033.10	84220571	84225544
13	ENSG00000118922	ENSG00000118922.18	73686089	74133929
20	ENSG00000282968	ENSG00000282968.1	29430723	29432913
13	ENSG00000152207	ENSG00000152207.8	48653711	48711226
20	ENSG00000272050	ENSG00000272050.1	62477870	62478594
20	ENSG00000237371	ENSG00000237371.1	64056803	64057084
20	ENSG00000124209	ENSG00000124209.4	58309715	58367507
18	ENSG00000101638	ENSG00000101638.14	46667821	46759257
10	ENSG00000230962	ENSG00000230962.2	85449592	85492001
13	ENSG00000165621	ENSG00000165621.9	96985713	96994730
10	ENSG00000148584	ENSG00000148584.15	50799409	50885675
6	ENSG00000248167	ENSG00000248167.7	30328907	30346854
6	ENSG00000230570	ENSG00000230570.1	7340854	7342056
12	ENSG00000139055	ENSG00000139055.7	14914039	14938537
6	ENSG00000112242	ENSG00000112242.15	20401879	20493714
13	ENSG00000153531	ENSG00000153531.14	113399610	113453524
22	ENSG00000226450	ENSG00000226450.2	42149886	42155001
20	ENSG00000174407	ENSG00000174407.13	62550453	62570764
22	ENSG00000182057	ENSG00000182057.5	42269703	42279534
20	ENSG00000280213	ENSG00000280213.1	63953384	63956985
20	ENSG00000275285	ENSG00000275285.1	38378825	38383179
20	ENSG00000230568	ENSG00000230568.1	3489529	3491005
20	ENSG00000286309	ENSG00000286309.1	59395496	59397109
12	ENSG00000111701	ENSG00000111701.7	7649400	7665908
20	ENSG00000124205	ENSG00000124205.18	59300443	59325992
22	ENSG00000229891	ENSG00000229891.2	42364390	42369284
18	ENSG00000088756	ENSG00000088756.13	6729716	6915716
22	ENSG00000235568	ENSG00000235568.7	42380407	42432403
1	ENSG00000131584	ENSG00000131584.19	1292390	1309609
6	ENSG00000285799	ENSG00000285799.1	29849550	29885615
6	ENSG00000220771	ENSG00000220771.2	21602128	21602383
9	ENSG00000276266	ENSG00000276266.1	40611252	40622155
9	ENSG00000229511	ENSG00000229511.1	38486859	38488338
9	ENSG00000184906	ENSG00000184906.11	40497850	40566779
17	ENSG00000265519	ENSG00000265519.1	15787787	15788205
13	ENSG00000188243	ENSG00000188243.14	75525214	75549439
17	ENSG00000266664	ENSG00000266664.1	19150279	19151286
17	ENSG00000266651	ENSG00000266651.1	16440479	16440952
17	ENSG00000227225	ENSG00000227225.1	19602259	19603208
22	ENSG00000230107	ENSG00000230107.1	42438023	42446195
22	ENSG00000172250	ENSG00000172250.16	42500568	42512560
12	ENSG00000172243	ENSG00000172243.18	10116777	10130258
16	ENSG00000196678	ENSG00000196678.14	20780193	20900349
9	ENSG00000137080	ENSG00000137080.4	21165637	21166660
9	ENSG00000204776	ENSG00000204776.6	65770955	65771434
3	ENSG00000225275	ENSG00000225275.4	11900011	11901245
9	ENSG00000234861	ENSG00000234861.2	42410830	42412150
17	ENSG00000171962	ENSG00000171962.18	17972813	18016889
9	ENSG00000274516	ENSG00000274516.2	60929774	60936746
9	ENSG00000279256	ENSG00000279256.1	26642697	26644595
3	ENSG00000131378	ENSG00000131378.14	16313574	16514026
11	ENSG00000285705	ENSG00000285705.1	35824192	35838523
11	ENSG00000176567	ENSG00000176567.1	48263861	48264778
9	ENSG00000107105	ENSG00000107105.15	23690104	23826337
11	ENSG00000255550	ENSG00000255550.1	49854080	49859402
11	ENSG00000255204	ENSG00000255204.1	55863932	55881243
11	ENSG00000214883	ENSG00000214883.4	50409042	50422316
7	ENSG00000272984	ENSG00000272984.1	36734004	36734535
7	ENSG00000211692	ENSG00000211692.1	38276259	38276318
7	ENSG00000287953	ENSG00000287953.1	54185071	54257577
11	ENSG00000254940	ENSG00000254940.1	49920312	49921414
7	ENSG00000233264	ENSG00000233264.2	7980312	7982228
11	ENSG00000236919	ENSG00000236919.3	50246554	50247761
20	ENSG00000226094	ENSG00000226094.1	62572671	62573384
20	ENSG00000233686	ENSG00000233686.3	59460619	59460837
14	ENSG00000259015	ENSG00000259015.1	72960595	72961993
14	ENSG00000259079	ENSG00000259079.1	71330342	71330738
20	ENSG00000225129	ENSG00000225129.1	59352195	59357774
11	ENSG00000255086	ENSG00000255086.1	26045987	26047598
22	ENSG00000189306	ENSG00000189306.11	42508344	42519796
20	ENSG00000101413	ENSG00000101413.12	38033725	38127780
14	ENSG00000170345	ENSG00000170345.10	75278826	75282230
7	ENSG00000224947	ENSG00000224947.1	56559221	56559958
7	ENSG00000236284	ENSG00000236284.1	63367427	63368156
13	ENSG00000136114	ENSG00000136114.17	52377167	52416373
7	ENSG00000211698	ENSG00000211698.2	38353715	38354517
11	ENSG00000110429	ENSG00000110429.14	33740939	33774543
7	ENSG00000283061	ENSG00000283061.1	12704	27234
7	ENSG00000241644	ENSG00000241644.2	30697985	30757602
6	ENSG00000137177	ENSG00000137177.20	17759183	17987635
13	ENSG00000199605	ENSG00000199605.1	52400004	52400099
13	ENSG00000136100	ENSG00000136100.14	52412602	52450634
7	ENSG00000281404	ENSG00000281404.2	30390885	30412375
7	ENSG00000244550	ENSG00000244550.1	63233115	63241645
14	ENSG00000258479	ENSG00000258479.6	51333068	51365557
7	ENSG00000232553	ENSG00000232553.3	23585062	23586355
7	ENSG00000181211	ENSG00000181211.1	43117896	43163187
20	ENSG00000196132	ENSG00000196132.14	64102394	64242253
14	ENSG00000251393	ENSG00000251393.4	73462362	73477175
22	ENSG00000168135	ENSG00000168135.4	38426327	38455199
14	ENSG00000260046	ENSG00000260046.1	45369215	45370839
14	ENSG00000258836	ENSG00000258836.2	58100985	58101574
7	ENSG00000228953	ENSG00000228953.1	23655682	23655861
7	ENSG00000235669	ENSG00000235669.1	29199540	29208970
14	ENSG00000258376	ENSG00000258376.2	73242651	73245979
7	ENSG00000229478	ENSG00000229478.1	51600286	51600573
22	ENSG00000100246	ENSG00000100246.13	38778508	38794198
14	ENSG00000258966	ENSG00000258966.1	71044375	71044640
7	ENSG00000221845	ENSG00000221845.4	47655244	47661648
14	ENSG00000259051	ENSG00000259051.1	43300263	43300595
14	ENSG00000241891	ENSG00000241891.1	81777016	81777613
7	ENSG00000273432	ENSG00000273432.1	43951910	44019151
14	ENSG00000119723	ENSG00000119723.17	73949926	73963670
7	ENSG00000232930	ENSG00000232930.2	36001317	36055431
7	ENSG00000228173	ENSG00000228173.2	48660125	48669479
9	ENSG00000231995	ENSG00000231995.2	62266319	62266919
9	ENSG00000276868	ENSG00000276868.1	40883634	40883763
7	ENSG00000280255	ENSG00000280255.1	26538378	26541048
9	ENSG00000284612	ENSG00000284612.1	38650215	38662717
1	ENSG00000227589	ENSG00000227589.1	3658938	3668772
9	ENSG00000184523	ENSG00000184523.4	62838824	62844276
1	ENSG00000237402	ENSG00000237402.1	7368942	7370270
9	ENSG00000287168	ENSG00000287168.1	62801534	62802699
1	ENSG00000284616	ENSG00000284616.1	5301928	5307394
7	ENSG00000164742	ENSG00000164742.16	45574140	45723116
9	ENSG00000226337	ENSG00000226337.3	68541036	68644442
16	ENSG00000287522	ENSG00000287522.1	8615855	8618033
22	ENSG00000221890	ENSG00000221890.6	38818452	38844028
16	ENSG00000275927	ENSG00000275927.1	17445825	17446380
1	ENSG00000169972	ENSG00000169972.12	1308597	1311677
8	ENSG00000104714	ENSG00000104714.14	614746	738106
9	ENSG00000236733	ENSG00000236733.1	68822403	68843275
9	ENSG00000273999	ENSG00000273999.1	67211663	67213067
16	ENSG00000271609	ENSG00000271609.1	21538487	21538794
16	ENSG00000261090	ENSG00000261090.2	23017723	23026285
9	ENSG00000225655	ENSG00000225655.5	41073710	41076392
16	ENSG00000260017	ENSG00000260017.1	18803083	18812181
16	ENSG00000262185	ENSG00000262185.3	3930806	3950586
9	ENSG00000239684	ENSG00000239684.2	63775892	63776143
9	ENSG00000278054	ENSG00000278054.1	41647825	41648035
22	ENSG00000183741	ENSG00000183741.12	38861422	38872249
9	ENSG00000237153	ENSG00000237153.4	16917511	17114122
9	ENSG00000274583	ENSG00000274583.1	61205258	61212373
21	ENSG00000276076	ENSG00000276076.5	6499203	6564489
9	ENSG00000137106	ENSG00000137106.18	37422666	37436990
16	ENSG00000158865	ENSG00000158865.12	24845841	24911628
1	ENSG00000157911	ENSG00000157911.11	2403964	2413797
21	ENSG00000156299	ENSG00000156299.13	31118416	31559977
12	ENSG00000247157	ENSG00000247157.7	11548030	11590369
8	ENSG00000261026	ENSG00000261026.1	22679013	22684009
8	ENSG00000253343	ENSG00000253343.1	8555738	8560965
8	ENSG00000285606	ENSG00000285606.1	10275499	10279737
22	ENSG00000288106	ENSG00000288106.1	38886837	38903794
22	ENSG00000235209	ENSG00000235209.1	38921227	38924708
12	ENSG00000134551	ENSG00000134551.13	10929236	10934845
8	ENSG00000155975	ENSG00000155975.10	17246931	17302427
22	ENSG00000128383	ENSG00000128383.13	38952741	38992778
18	ENSG00000134444	ENSG00000134444.15	62187255	62310249
13	ENSG00000278238	ENSG00000278238.1	52454775	52455331
13	ENSG00000136108	ENSG00000136108.15	52455429	52476628
12	ENSG00000275119	ENSG00000275119.1	11212219	11251389
12	ENSG00000172322	ENSG00000172322.14	9951316	9995694
7	ENSG00000232161	ENSG00000232161.1	57770966	57771173
3	ENSG00000287774	ENSG00000287774.1	30292548	30305037
7	ENSG00000062582	ENSG00000062582.14	43866558	43869893
3	ENSG00000170293	ENSG00000170293.9	32238679	32370321
19	ENSG00000105355	ENSG00000105355.9	4838341	4867694
10	ENSG00000286445	ENSG00000286445.1	87500337	87504837
10	ENSG00000232706	ENSG00000232706.3	50676743	50686326
20	ENSG00000273812	ENSG00000273812.3	62596732	62603355
22	ENSG00000179750	ENSG00000179750.16	38982347	38992804
20	ENSG00000213742	ENSG00000213742.7	25624045	25689032
10	ENSG00000235279	ENSG00000235279.1	51302566	51306709
10	ENSG00000280134	ENSG00000280134.1	85555484	85557436
10	ENSG00000225928	ENSG00000225928.2	84454679	84456056
10	ENSG00000229711	ENSG00000229711.1	50822692	50824525
10	ENSG00000107789	ENSG00000107789.16	87504875	87553461
3	ENSG00000163528	ENSG00000163528.13	14112077	14124870
17	ENSG00000226746	ENSG00000226746.2	17776686	17779529
20	ENSG00000230352	ENSG00000230352.1	59360927	59364773
20	ENSG00000130706	ENSG00000130706.13	62302093	62308862
7	ENSG00000164855	ENSG00000164855.16	1542235	1560821
1	ENSG00000269896	ENSG00000269896.2	2350414	2352820
1	ENSG00000237973	ENSG00000237973.1	631074	632616
1	ENSG00000224051	ENSG00000224051.7	1324756	1328896
17	ENSG00000177731	ENSG00000177731.16	18244815	18258738
10	ENSG00000212769	ENSG00000212769.5	84081429	84081995
10	ENSG00000235858	ENSG00000235858.1	80333771	80334426
10	ENSG00000272630	ENSG00000272630.1	73098044	73101297
3	ENSG00000286579	ENSG00000286579.1	4269153	4311495
10	ENSG00000231060	ENSG00000231060.1	80776165	80778088
8	ENSG00000278886	ENSG00000278886.1	18864681	18865247
10	ENSG00000230501	ENSG00000230501.1	45156775	45176925
8	ENSG00000241852	ENSG00000241852.10	22599599	22604150
10	ENSG00000108064	ENSG00000108064.11	58385345	58399220
1	ENSG00000228750	ENSG00000228750.7	6724637	6730012
3	ENSG00000196277	ENSG00000196277.16	6770001	7741533
1	ENSG00000228463	ENSG00000228463.10	257864	359681
1	ENSG00000238260	ENSG00000238260.1	3623190	3624743
19	ENSG00000268670	ENSG00000268670.1	4061615	4062749
1	ENSG00000260972	ENSG00000260972.1	5492978	5494674
9	ENSG00000155886	ENSG00000155886.11	19507452	19786928
1	ENSG00000157933	ENSG00000157933.10	2228319	2310213
19	ENSG00000167658	ENSG00000167658.16	3976056	3985463
22	ENSG00000249310	ENSG00000249310.2	38991559	38998209
22	ENSG00000244509	ENSG00000244509.4	39014257	39020352
11	ENSG00000254668	ENSG00000254668.1	41797543	41797964
11	ENSG00000254836	ENSG00000254836.1	32052843	32053260
1	ENSG00000162591	ENSG00000162591.16	3487951	3611508
11	ENSG00000277803	ENSG00000277803.1	23886135	23893557
11	ENSG00000254686	ENSG00000254686.2	35656694	35661339
11	ENSG00000205030	ENSG00000205030.1	55827219	55828154
7	ENSG00000231232	ENSG00000231232.4	57822465	57822801
11	ENSG00000214891	ENSG00000214891.9	49053714	49059112
7	ENSG00000236529	ENSG00000236529.2	65840055	65842396
7	ENSG00000226401	ENSG00000226401.3	63632608	63636617
13	ENSG00000235660	ENSG00000235660.2	52482804	52489216
13	ENSG00000244471	ENSG00000244471.6	52488993	52587095
7	ENSG00000211687	ENSG00000211687.1	38253380	38253429
7	ENSG00000228303	ENSG00000228303.1	56638943	56650696
22	ENSG00000284554	ENSG00000284554.2	39014363	39033276
13	ENSG00000280296	ENSG00000280296.1	52497097	52500195
11	ENSG00000251557	ENSG00000251557.2	43120762	43269393
13	ENSG00000273784	ENSG00000273784.5	52600042	52643773
12	ENSG00000256912	ENSG00000256912.1	9817350	9818025
7	ENSG00000237400	ENSG00000237400.1	36463023	36504513
12	ENSG00000111261	ENSG00000111261.14	12326056	12350242
7	ENSG00000261184	ENSG00000261184.3	36095255	36100660
20	ENSG00000025293	ENSG00000025293.17	35771974	35950370
7	ENSG00000227489	ENSG00000227489.1	15066207	15068651
22	ENSG00000128394	ENSG00000128394.17	39040604	39055972
7	ENSG00000229497	ENSG00000229497.1	43767290	43767599
7	ENSG00000229970	ENSG00000229970.3	8262264	8344516
13	ENSG00000250299	ENSG00000250299.6	52600119	52637446
13	ENSG00000139675	ENSG00000139675.13	52642431	52643773
7	ENSG00000211695	ENSG00000211695.2	38317017	38318861
13	ENSG00000273723	ENSG00000273723.1	52651305	52652279
11	ENSG00000086205	ENSG00000086205.18	49145092	49208638
8	ENSG00000164743	ENSG00000164743.5	13566869	13568288
7	ENSG00000227426	ENSG00000227426.1	63401385	63402271
9	ENSG00000226393	ENSG00000226393.1	21321300	21321827
9	ENSG00000276386	ENSG00000276386.1	67059560	67293468
12	ENSG00000084444	ENSG00000084444.14	13044381	13142521
7	ENSG00000232612	ENSG00000232612.1	54656358	54656734
8	ENSG00000277526	ENSG00000277526.5	2562813	2623382
13	ENSG00000165416	ENSG00000165416.15	52652709	52700909
7	ENSG00000228668	ENSG00000228668.1	38345030	38345499
10	ENSG00000271933	ENSG00000271933.1	84138420	84140582
10	ENSG00000236417	ENSG00000236417.2	87386685	87390203
7	ENSG00000233306	ENSG00000233306.2	38362864	38363518
10	ENSG00000226659	ENSG00000226659.1	80529597	80535942
10	ENSG00000228280	ENSG00000228280.1	75742740	75743755
7	ENSG00000279072	ENSG00000279072.1	56809214	56848800
10	ENSG00000180581	ENSG00000180581.7	91807179	91807439
8	ENSG00000248235	ENSG00000248235.6	22589274	22602084
10	ENSG00000169740	ENSG00000169740.14	43643860	43648881
7	ENSG00000188730	ENSG00000188730.5	49773638	49921950
8	ENSG00000147457	ENSG00000147457.14	23243637	23262000
10	ENSG00000107731	ENSG00000107731.12	71212570	71302864
22	ENSG00000259421	ENSG00000259421.1	39070414	39070671
22	ENSG00000239713	ENSG00000239713.9	39077067	39087743
19	ENSG00000266944	ENSG00000266944.1	3130717	3131398
7	ENSG00000233288	ENSG00000233288.2	56528253	56538676
9	ENSG00000119121	ENSG00000119121.22	74722495	74888094
19	ENSG00000142347	ENSG00000142347.19	8520778	8577577
7	ENSG00000164532	ENSG00000164532.11	35202430	35254100
14	ENSG00000175985	ENSG00000175985.10	69484692	69531551
10	ENSG00000178429	ENSG00000178429.9	84560443	84561263
10	ENSG00000268659	ENSG00000268659.2	75642476	75643106
10	ENSG00000236944	ENSG00000236944.1	50962993	50963358
12	ENSG00000256084	ENSG00000256084.1	14216590	14221297
7	ENSG00000235227	ENSG00000235227.1	64180006	64180892
12	ENSG00000286303	ENSG00000286303.1	16420653	16447217
7	ENSG00000227910	ENSG00000227910.1	63924787	63926306
12	ENSG00000256682	ENSG00000256682.2	10894943	10896952
12	ENSG00000231887	ENSG00000231887.7	10824960	11171608
7	ENSG00000227344	ENSG00000227344.2	53187388	53188938
7	ENSG00000233962	ENSG00000233962.1	57652736	57653459
10	ENSG00000026103	ENSG00000026103.22	88990531	89017059
7	ENSG00000226468	ENSG00000226468.2	32456963	32457758
7	ENSG00000224101	ENSG00000224101.1	36997796	37013630
7	ENSG00000286658	ENSG00000286658.1	50641725	50643868
7	ENSG00000232325	ENSG00000232325.4	70972	95683
7	ENSG00000226829	ENSG00000226829.2	68149548	68319676
12	ENSG00000255790	ENSG00000255790.6	11399381	11486708
16	ENSG00000241641	ENSG00000241641.1	12081237	12081902
22	ENSG00000100324	ENSG00000100324.14	39399778	39437060
8	ENSG00000159167	ENSG00000159167.12	23841929	23854806
16	ENSG00000273956	ENSG00000273956.1	21526824	21531141
7	ENSG00000073067	ENSG00000073067.14	983181	989640
16	ENSG00000260790	ENSG00000260790.1	22374859	22378180
14	ENSG00000258443	ENSG00000258443.1	73517233	73520648
16	ENSG00000283213	ENSG00000283213.1	22806289	22813680
14	ENSG00000279461	ENSG00000279461.2	74003396	74003470
14	ENSG00000224861	ENSG00000224861.1	66012830	66013789
16	ENSG00000261612	ENSG00000261612.1	4562814	4563128
12	ENSG00000255641	ENSG00000255641.1	10412312	10436001
16	ENSG00000277041	ENSG00000277041.1	22537478	22537584
16	ENSG00000219027	ENSG00000219027.2	1477830	1478583
14	ENSG00000119681	ENSG00000119681.12	74498183	74612378
16	ENSG00000175604	ENSG00000175604.2	12086746	12090302
12	ENSG00000118976	ENSG00000118976.5	3839459	3842525
12	ENSG00000179256	ENSG00000179256.2	14804650	14814182
8	ENSG00000197265	ENSG00000197265.9	30578318	30658236
12	ENSG00000256436	ENSG00000256436.1	11030387	11031407
16	ENSG00000103342	ENSG00000103342.13	11868128	11916082
12	ENSG00000255734	ENSG00000255734.1	10111738	10112471
12	ENSG00000255973	ENSG00000255973.1	5583797	5584085
12	ENSG00000226091	ENSG00000226091.7	8295986	8396803
18	ENSG00000074657	ENSG00000074657.14	58862600	58986480
3	ENSG00000238008	ENSG00000238008.1	33554636	33554859
3	ENSG00000283563	ENSG00000283563.1	28349178	29767537
1	ENSG00000224340	ENSG00000224340.1	10054445	10054781
1	ENSG00000270035	ENSG00000270035.1	7698303	7698872
1	ENSG00000169962	ENSG00000169962.5	1331280	1335314
7	ENSG00000106483	ENSG00000106483.12	37905932	38025695
12	ENSG00000274551	ENSG00000274551.1	11516425	11521686
12	ENSG00000244131	ENSG00000244131.2	8742428	8743072
12	ENSG00000171847	ENSG00000171847.11	8221260	8227618
1	ENSG00000226545	ENSG00000226545.1	8798475	8799506
1	ENSG00000233653	ENSG00000233653.3	487101	489906
1	ENSG00000268663	ENSG00000268663.1	674842	675265
1	ENSG00000226374	ENSG00000226374.3	3944547	3949024
1	ENSG00000116285	ENSG00000116285.13	8004404	8026309
22	ENSG00000128268	ENSG00000128268.12	39457012	39492194
8	ENSG00000104228	ENSG00000104228.13	27284886	27311272
7	ENSG00000173862	ENSG00000173862.3	33725981	33728456
12	ENSG00000256626	ENSG00000256626.1	10040848	10045711
1	ENSG00000229280	ENSG00000229280.1	4175528	4175899
7	ENSG00000223829	ENSG00000223829.6	46969644	47027481
22	ENSG00000227188	ENSG00000227188.1	39475807	39476822
12	ENSG00000243916	ENSG00000243916.1	15439527	15440401
1	ENSG00000142655	ENSG00000142655.13	10472288	10630758
12	ENSG00000139053	ENSG00000139053.3	14973042	14981865
22	ENSG00000100335	ENSG00000100335.15	39499432	39518132
7	ENSG00000229165	ENSG00000229165.1	48902556	48903891
7	ENSG00000280920	ENSG00000280920.1	54201224	54202421
7	ENSG00000286466	ENSG00000286466.1	69145185	69174450
12	ENSG00000070019	ENSG00000070019.5	14612632	14696599
7	ENSG00000136270	ENSG00000136270.14	45100100	45112047
1	ENSG00000232596	ENSG00000232596.3	4571481	4594016
3	ENSG00000033867	ENSG00000033867.16	27372721	27484420
20	ENSG00000227282	ENSG00000227282.1	59515191	59516039
20	ENSG00000234274	ENSG00000234274.1	35850674	35850915
20	ENSG00000226332	ENSG00000226332.2	62305432	62306325
20	ENSG00000234104	ENSG00000234104.1	20970448	20972562
1	ENSG00000235054	ENSG00000235054.4	4412027	4424689
20	ENSG00000270793	ENSG00000270793.1	20721187	20721879
20	ENSG00000225803	ENSG00000225803.1	20854121	20854642
20	ENSG00000287511	ENSG00000287511.1	52072685	52096480
20	ENSG00000197183	ENSG00000197183.14	32443059	32585074
8	ENSG00000254193	ENSG00000254193.1	150584	150728
8	ENSG00000273876	ENSG00000273876.1	5127919	5128233
8	ENSG00000145002	ENSG00000145002.12	12425614	12436343
